Class,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy*,DIT,Dpt,Dpt*,E,Inner,Inner,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level*,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC
com.naman14.timber.ApplicationTest,0,0,3,37.50%,0,1,0,13,13,0,0,0,0,1,0,0,0,0,0,100.00%,3,0.00%,0,0,0,1,1,8,1,7,5,0,0,5,0,0,11,0,0,1.00,1,0.00,1.00,1,0,0,0,2,1,0,60.00%,0,16,1
com.naman14.timber.MusicPlayer,5,42,0,0.00%,24,0,4,69,73,121,194,9,243,1,34,131,"2,184,261",2,0,0.00%,0,0.00%,0,0,6,2,123,648,0,"1,466",201,4,0,648,57,0,11,0,0,2.47,2,1.11,5.79,3,4,9,33,103,330,0,0.00%,0,"11,216",141
com.naman14.timber.MusicPlayer.ServiceBinder,0,1,0,0.00%,2,1,2,19,21,121,13,1,243,1,1,131,"2,567",0,1,0.00%,0,0.00%,0,0,1,2,123,23,4,44,20,2,0,23,2,0,13,0,0,1.67,2,1.67,3.00,4,1,1,0,6,9,0,0.00%,0,190,5
com.naman14.timber.MusicPlayer.ServiceToken,0,2,0,0.00%,0,1,1,13,14,0,2,0,0,1,2,132,46,0,0,0.00%,0,0.00%,0,0,0,1,1,6,0,9,6,1,0,6,0,0,11,0,0,1.00,1,1.00,1.00,1,0,2,0,1,1,0,0.00%,0,23,1
com.naman14.timber.MusicService,44,34,19,1.02%,58,0,106,367,473,121,898,22,243,4,19,131,"49,277,423",7,2,0.00%,0,0.00%,0,0,1,2,123,"1,859",5,"5,563",926,106,0,"1,841",100,0,146,5,0,3.54,1,0.70,9.82,1,7,6,47,346,"1,119",0,0.98%,0,"54,822",404
com.naman14.timber.MusicService.MediaStoreObserver,0,1,0,0.00%,2,1,2,22,24,121,12,1,243,2,1,131,"1,845",0,1,0.00%,0,0.00%,0,0,2,2,123,18,5,32,23,2,0,18,1,0,15,1,0,1.00,1,0.67,2.00,2,1,1,0,8,6,0,0.00%,0,144,3
com.naman14.timber.MusicService.MultiPlayer,1,3,0,0.00%,10,1,6,32,38,121,101,2,243,1,2,131,"202,535",0,2,0.00%,0,0.00%,0,0,1,2,123,153,53,303,98,6,0,153,17,0,11,0,0,1.50,5,0.72,4.56,22,1,1,7,53,82,0,0.00%,0,"2,004",27
com.naman14.timber.MusicService.MusicPlayerHandler,0,4,0,0.00%,1,1,2,49,51,121,62,4,243,2,1,131,"89,465",0,0,0.00%,0,0.00%,0,0,1,2,123,101,33,218,94,2,0,101,0,0,41,1,0,11.50,22,1.50,37.50,73,2,1,0,27,75,0,0.00%,0,"1,428",23
com.naman14.timber.MusicService.ServiceStub,1,3,0,0.00%,15,1,1,57,58,121,111,3,243,1,1,131,"258,572",0,0,0.00%,0,0.00%,0,0,1,2,123,185,90,368,78,1,0,185,44,0,11,0,0,1.00,1,0.58,1.00,1,3,1,29,92,45,0,0.00%,0,"2,313",45
com.naman14.timber.MusicService.Shuffler,0,1,0,0.00%,1,1,4,15,19,121,41,1,243,1,1,131,"17,874",0,0,0.00%,0,0.00%,0,0,1,2,123,28,12,78,45,4,0,28,2,0,11,0,0,2.00,3,0.33,4.67,8,1,1,1,17,14,0,0.00%,0,428,6
