Method,ASSERT,B,BRANCH,CALL,CALLED,CALLEDp,CALLEDt,CAST,CAUGHT,CDENS,CLOC,CogC,COM_RAT,CONTROL,D,E,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),JLOC,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,NTP,NULL,OVER,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,TCOM_RAT,THROWS,TODO,V,v(G)
accept(File),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
albumInfoFailed(),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
albumInfoSuccess(LastfmAlbum),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
artistInfoFailed(),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
artistInfoSucess(LastfmArtist),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
com.naman14.timber.ApplicationTest.ApplicationTest(),0,0,0,1,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,1,1,3,0,n/a,1,0,3,0,0,4,4,0,3,0,0,0,n/a,3,15,8,1,37.50%,1,0.00%,0,0,8,1
"com.naman14.timber.MusicPlayer.ServiceBinder.ServiceBinder(ServiceConnection, Context)",0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,1,18,1,2,6,0,n/a,1,0,4,0,0,7,6,0,4,2,0,0,n/a,5,25,12,1,17.39%,2,0.00%,0,0,18,1
"com.naman14.timber.MusicPlayer.ServiceBinder.onServiceConnected(ComponentName, IBinder)",0,0,0,3,1,1,0,0,0,25.00%,0,1,0.00%,1,4,276,1,3,18,1,n/a,2,0,8,0,0,16,13,1,8,2,0,1,n/a,12,57,28,1,34.78%,4,0.00%,0,0,59,2
com.naman14.timber.MusicPlayer.ServiceBinder.onServiceDisconnected(ComponentName),0,0,0,1,1,1,0,0,0,33.33%,0,1,0.00%,1,4,179,1,2,10,1,n/a,2,0,7,0,0,12,10,1,7,1,0,1,n/a,11,44,23,1,30.43%,3,0.00%,0,0,39,2
com.naman14.timber.MusicPlayer.ServiceToken.ServiceToken(ContextWrapper),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,1,8,1,1,3,0,n/a,1,0,3,0,0,4,4,0,3,1,0,0,n/a,4,15,8,1,50.00%,1,0.00%,0,0,8,1
"com.naman14.timber.MusicPlayer.addToPlaylist(Context, long[], long)",0,0,0,12,2,2,0,0,0,19.05%,0,4,0.00%,4,28,"14,358",1,17,95,1,n/a,5,0,29,1,1,90,51,2,29,3,0,2,n/a,57,301,127,1,4.28%,21,0.00%,0,0,510,5
"com.naman14.timber.MusicPlayer.addToQueue(Context, long[], long, IdType)",0,0,0,4,7,7,0,0,1,33.33%,0,2,0.00%,2,8,"1,207",2,4,29,1,n/a,1,0,12,0,0,32,25,1,12,4,0,1,n/a,18,107,46,2,1.77%,6,0.00%,0,0,148,3
com.naman14.timber.MusicPlayer.asyncNext(Context),0,0,0,3,0,0,0,0,0,0.00%,0,0,0.00%,0,6,322,1,3,12,0,n/a,1,0,5,0,0,14,11,0,5,1,0,0,n/a,11,47,20,1,0.74%,3,0.00%,0,0,48,1
"com.naman14.timber.MusicPlayer.bindToService(Context, ServiceConnection)",0,0,0,11,2,2,0,2,0,20.00%,0,2,0.00%,2,16,"3,262",2,8,43,1,n/a,2,0,17,0,0,44,22,1,17,2,0,1,n/a,32,149,65,2,2.51%,10,0.00%,0,0,196,3
com.naman14.timber.MusicPlayer.clearQueue(),0,0,0,1,1,1,0,0,1,66.67%,0,3,0.00%,2,5,233,1,1,9,1,n/a,2,0,8,0,0,13,12,2,8,0,0,1,n/a,12,48,26,1,1.18%,3,0.00%,0,0,46,3
"com.naman14.timber.MusicPlayer.createPlaylist(Context, String)",0,0,0,10,1,1,0,0,0,20.00%,0,6,0.00%,3,21,"7,671",3,12,77,2,n/a,5,0,24,0,0,68,37,2,24,2,0,2,n/a,44,229,99,3,3.55%,15,0.00%,0,0,354,5
com.naman14.timber.MusicPlayer.cycleRepeat(),0,0,0,6,5,5,0,0,1,71.43%,0,7,0.00%,10,15,"2,001",1,4,36,2,n/a,3,0,21,0,0,32,18,4,21,0,0,1,n/a,41,126,72,1,3.10%,14,0.00%,0,0,133,6
com.naman14.timber.MusicPlayer.cycleShuffle(),0,0,0,6,5,5,0,0,1,75.00%,0,7,0.00%,12,14,"2,247",1,4,38,2,n/a,3,0,23,0,0,35,20,4,23,0,0,1,n/a,44,139,80,1,3.40%,16,0.00%,0,0,151,7
com.naman14.timber.MusicPlayer.duration(),0,0,0,1,5,5,0,0,2,50.00%,0,5,0.00%,2,6,365,2,2,7,1,n/a,2,0,10,0,0,17,12,2,10,0,0,1,n/a,14,61,31,2,1.48%,4,0.00%,0,0,60,4
com.naman14.timber.MusicPlayer.getAlbumName(),0,0,0,1,1,1,0,0,1,50.00%,0,3,0.00%,2,8,372,2,2,7,1,n/a,2,0,9,0,0,14,10,2,9,0,0,1,n/a,16,52,28,2,1.33%,4,0.00%,0,0,46,3
com.naman14.timber.MusicPlayer.getArtistName(),0,0,0,1,5,5,0,0,1,50.00%,0,3,0.00%,2,8,372,2,2,7,1,n/a,2,0,9,0,0,14,10,2,9,0,0,1,n/a,16,52,28,2,1.33%,4,0.00%,0,0,46,3
com.naman14.timber.MusicPlayer.getAudioSessionId(),0,0,0,1,1,1,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,9,0,0,16,13,2,9,0,0,1,n/a,14,58,30,2,1.33%,4,0.00%,0,0,59,3
com.naman14.timber.MusicPlayer.getCurrentAlbumId(),0,0,0,1,4,4,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,9,0,0,16,13,2,9,0,0,1,n/a,14,58,30,2,1.33%,4,0.00%,0,0,59,3
com.naman14.timber.MusicPlayer.getCurrentArtistId(),0,0,0,1,2,2,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,9,0,0,16,13,2,9,0,0,1,n/a,14,58,30,2,1.33%,4,0.00%,0,0,59,3
com.naman14.timber.MusicPlayer.getCurrentAudioId(),0,0,0,1,4,4,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,9,0,0,16,13,2,9,0,0,1,n/a,14,58,30,2,1.33%,4,0.00%,0,0,59,3
com.naman14.timber.MusicPlayer.getCurrentTrack(),0,0,0,1,1,1,0,0,1,50.00%,0,3,0.00%,2,8,372,2,2,7,1,n/a,2,0,9,0,0,14,10,2,9,0,0,1,n/a,16,52,28,2,1.33%,4,0.00%,0,0,46,3
com.naman14.timber.MusicPlayer.getNextAudioId(),0,0,0,1,1,1,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,9,0,0,16,13,2,9,0,0,1,n/a,14,58,30,2,1.33%,4,0.00%,0,0,59,3
com.naman14.timber.MusicPlayer.getPreviousAudioId(),0,0,0,1,0,0,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,9,0,0,16,13,2,9,0,0,1,n/a,14,58,30,2,1.33%,4,0.00%,0,0,59,3
com.naman14.timber.MusicPlayer.getQueue(),0,0,0,1,4,4,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,10,0,0,16,13,2,10,0,0,1,n/a,14,58,30,2,1.48%,4,0.00%,0,0,59,3
com.naman14.timber.MusicPlayer.getQueueHistoryList(),0,0,0,1,0,0,0,0,1,50.00%,0,3,0.00%,2,9,467,2,2,7,1,n/a,2,0,9,0,0,15,11,2,9,0,0,1,n/a,17,55,29,2,1.33%,4,0.00%,0,0,51,3
com.naman14.timber.MusicPlayer.getQueueHistoryPosition(int),0,0,0,1,0,0,0,0,1,50.00%,0,3,0.00%,2,6,428,2,2,8,1,n/a,2,0,9,0,0,18,14,2,9,1,0,1,n/a,14,64,32,2,1.33%,4,0.00%,0,0,68,3
com.naman14.timber.MusicPlayer.getQueueHistorySize(),0,0,0,1,0,0,0,0,1,50.00%,0,3,0.00%,2,6,322,2,2,7,1,n/a,2,0,9,0,0,15,12,2,9,0,0,1,n/a,14,55,29,2,1.33%,4,0.00%,0,0,53,3
com.naman14.timber.MusicPlayer.getQueueItemAtPosition(int),0,0,0,1,0,0,0,0,1,50.00%,0,3,0.00%,2,7,570,2,2,8,1,n/a,2,0,10,0,0,19,16,2,10,1,0,1,n/a,15,67,33,2,1.48%,4,0.00%,0,0,76,3
com.naman14.timber.MusicPlayer.getQueuePosition(),0,0,0,1,10,10,0,0,1,50.00%,0,2,0.00%,2,6,322,2,2,7,1,n/a,2,0,9,0,0,15,12,2,9,0,0,1,n/a,14,55,29,2,1.33%,4,0.00%,0,0,53,3
com.naman14.timber.MusicPlayer.getQueueSize(),0,0,0,1,0,0,0,0,1,50.00%,0,3,0.00%,2,6,394,2,2,7,1,n/a,2,0,10,0,0,16,13,2,10,0,0,1,n/a,14,58,30,2,1.48%,4,0.00%,0,0,59,3
"com.naman14.timber.MusicPlayer.getReleaseDateForAlbum(Context, long)",0,0,0,7,0,0,0,0,0,25.00%,0,4,0.00%,3,20,"4,577",2,9,51,2,n/a,3,0,19,0,0,46,28,2,19,2,0,1,n/a,40,160,74,2,2.81%,12,0.00%,0,0,221,4
com.naman14.timber.MusicPlayer.getRepeatMode(),0,0,0,1,19,19,0,0,1,50.00%,0,3,0.00%,2,6,322,2,2,7,1,n/a,2,0,9,0,0,15,12,2,9,0,0,1,n/a,14,55,29,2,1.33%,4,0.00%,0,0,53,3
com.naman14.timber.MusicPlayer.getShuffleMode(),0,0,0,1,5,5,0,0,1,50.00%,0,3,0.00%,2,6,322,2,2,7,1,n/a,2,0,9,0,0,15,12,2,9,0,0,1,n/a,14,55,29,2,1.33%,4,0.00%,0,0,53,3
"com.naman14.timber.MusicPlayer.getSongCountForAlbumInt(Context, long)",0,0,0,8,0,0,0,0,0,30.77%,0,7,0.00%,4,25,"6,501",2,9,56,3,n/a,4,0,20,0,0,53,30,3,20,2,0,1,n/a,48,185,87,2,2.95%,13,0.00%,0,0,260,5
"com.naman14.timber.MusicPlayer.getSongListForAlbum(Context, long)",0,0,0,4,1,1,0,0,0,11.11%,0,1,0.00%,1,7,"1,617",2,8,54,1,n/a,2,0,17,0,0,43,30,1,17,2,0,1,n/a,20,143,60,2,2.51%,9,0.00%,0,0,210,2
"com.naman14.timber.MusicPlayer.getSongListForArtist(Context, long)",0,0,0,4,1,1,0,0,0,11.11%,0,1,0.00%,1,7,"1,617",2,8,54,1,n/a,2,0,17,0,0,43,30,1,17,2,0,1,n/a,20,143,60,2,2.51%,9,0.00%,0,0,210,2
com.naman14.timber.MusicPlayer.getTrack(int),0,0,0,1,0,0,0,0,1,50.00%,0,3,0.00%,2,7,430,2,2,8,1,n/a,2,0,9,0,0,16,12,2,9,1,0,1,n/a,15,58,30,2,1.33%,4,0.00%,0,0,57,3
com.naman14.timber.MusicPlayer.getTrackName(),0,0,0,1,13,13,0,0,1,50.00%,0,3,0.00%,2,8,372,2,2,7,1,n/a,2,0,9,0,0,14,10,2,9,0,0,1,n/a,16,52,28,2,1.33%,4,0.00%,0,0,46,3
com.naman14.timber.MusicPlayer.initPlaybackServiceWithSettings(Context),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,4,4,0,2,1,0,0,n/a,2,14,7,1,0.30%,0,0.00%,0,0,8,1
com.naman14.timber.MusicPlayer.isPlaybackServiceConnected(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,3,72,1,1,3,0,n/a,1,0,3,0,0,8,8,0,3,0,0,1,n/a,6,27,12,1,0.44%,1,0.00%,0,0,24,1
com.naman14.timber.MusicPlayer.isPlaying(),0,0,0,1,9,9,0,0,1,50.00%,0,3,0.00%,2,6,322,2,2,7,1,n/a,2,0,9,0,0,15,12,2,9,0,0,1,n/a,14,55,29,2,1.33%,4,0.00%,0,0,53,3
"com.naman14.timber.MusicPlayer.makeInsertItems(long[], int, int, int)",0,0,0,3,1,1,0,0,0,36.36%,0,6,0.00%,4,28,"9,177",1,7,69,1,n/a,2,0,15,1,1,65,31,2,15,4,0,2,n/a,49,218,95,1,2.22%,11,0.00%,0,0,322,6
"com.naman14.timber.MusicPlayer.makeLabel(Context, int, int)",0,0,0,2,2,2,0,0,0,0.00%,0,0,0.00%,0,4,232,1,1,8,0,n/a,1,0,4,0,0,15,10,0,4,3,0,0,n/a,7,48,19,1,0.59%,1,0.00%,0,0,49,1
"com.naman14.timber.MusicPlayer.moveQueueItem(int, int)",0,0,0,1,1,1,0,0,1,66.67%,0,3,0.00%,2,6,428,1,1,8,1,n/a,2,0,9,0,0,18,14,2,9,2,0,1,n/a,13,63,31,1,1.33%,3,0.00%,0,0,68,3
com.naman14.timber.MusicPlayer.next(),0,0,0,1,5,5,0,0,1,66.67%,0,2,0.00%,2,6,219,1,1,6,1,n/a,2,0,8,0,0,11,10,2,8,0,0,1,n/a,13,42,24,1,1.18%,3,0.00%,0,0,36,3
com.naman14.timber.MusicPlayer.openFile(String),0,0,0,1,1,1,0,0,1,66.67%,0,3,0.00%,2,5,258,1,1,7,1,n/a,2,0,8,0,0,14,11,2,8,1,0,1,n/a,12,51,27,1,1.18%,3,0.00%,0,0,48,3
"com.naman14.timber.MusicPlayer.playAlbum(Context, long, int, boolean)",0,0,0,2,0,0,0,0,0,33.33%,0,1,0.00%,1,7,786,1,2,16,1,n/a,2,0,6,0,0,24,18,1,6,4,0,1,n/a,14,80,35,1,0.89%,3,0.00%,0,0,100,2
"com.naman14.timber.MusicPlayer.playAll(Context, long[], int, long, IdType, boolean)",0,0,0,9,12,12,0,0,2,35.29%,0,11,0.00%,6,20,"8,207",4,11,67,2,n/a,5,0,29,0,0,77,35,3,29,6,0,2,n/a,51,265,121,3,4.28%,17,0.00%,0,0,394,13
"com.naman14.timber.MusicPlayer.playArtist(Context, long, int, boolean)",0,0,0,2,0,0,0,0,0,33.33%,0,1,0.00%,1,7,786,1,2,16,1,n/a,2,0,6,0,0,24,18,1,6,4,0,1,n/a,14,80,35,1,0.89%,3,0.00%,0,0,100,2
"com.naman14.timber.MusicPlayer.playNext(Context, long[], long, IdType)",0,0,0,4,5,5,0,0,1,33.33%,0,2,0.00%,2,8,"1,245",2,4,29,1,n/a,1,0,11,0,0,33,25,1,11,4,0,1,n/a,18,110,47,2,1.62%,6,0.00%,0,0,153,3
com.naman14.timber.MusicPlayer.playOrPause(),0,0,0,3,6,6,0,0,1,60.00%,0,5,0.00%,3,11,583,1,2,12,2,n/a,3,0,12,0,0,15,11,3,12,0,0,1,n/a,22,59,35,1,1.77%,5,0.00%,0,0,51,4
com.naman14.timber.MusicPlayer.position(),0,0,0,1,5,5,0,0,2,50.00%,0,5,0.00%,2,6,365,2,2,7,1,n/a,2,0,10,0,0,17,12,2,10,0,0,1,n/a,14,61,31,2,1.48%,4,0.00%,0,0,60,4
"com.naman14.timber.MusicPlayer.previous(Context, boolean)",0,0,0,4,3,3,0,0,0,20.00%,0,2,0.00%,1,8,774,1,4,18,1,n/a,2,0,9,0,0,22,16,1,9,2,0,0,n/a,17,76,35,1,1.33%,5,0.00%,0,0,88,2
com.naman14.timber.MusicPlayer.refresh(),0,0,0,1,1,1,0,0,1,66.67%,0,2,0.00%,2,6,219,1,1,6,1,n/a,2,0,8,0,0,11,10,2,8,0,0,1,n/a,13,42,24,1,1.18%,3,0.00%,0,0,36,3
com.naman14.timber.MusicPlayer.removeTrack(long),0,0,0,1,2,2,0,0,1,50.00%,0,2,0.00%,2,6,428,2,2,8,1,n/a,2,0,9,0,0,18,14,2,9,1,0,1,n/a,14,64,32,2,1.33%,4,0.00%,0,0,68,3
"com.naman14.timber.MusicPlayer.removeTrackAtPosition(long, int)",0,0,0,1,1,1,0,0,1,50.00%,0,2,0.00%,2,6,554,2,2,9,1,n/a,2,0,9,0,0,21,16,2,9,2,0,1,n/a,14,73,35,2,1.33%,4,0.00%,0,0,84,3
com.naman14.timber.MusicPlayer.seek(long),0,0,0,1,3,3,0,0,2,66.67%,0,5,0.00%,2,6,322,1,1,7,1,n/a,2,0,9,0,0,15,12,2,9,1,0,1,n/a,13,54,28,1,1.33%,3,0.00%,0,0,53,4
com.naman14.timber.MusicPlayer.seekRelative(long),0,0,0,1,0,0,0,0,2,66.67%,0,5,0.00%,2,6,344,1,1,7,1,n/a,2,0,9,0,0,16,12,2,9,1,0,1,n/a,13,57,29,1,1.33%,3,0.00%,0,0,57,4
com.naman14.timber.MusicPlayer.setQueuePosition(int),0,0,0,1,3,3,0,0,1,66.67%,0,3,0.00%,2,6,301,1,1,7,1,n/a,2,0,8,0,0,14,12,2,8,1,0,1,n/a,13,51,27,1,1.18%,3,0.00%,0,0,50,3
com.naman14.timber.MusicPlayer.setShuffleMode(int),0,0,0,1,1,1,0,0,1,66.67%,0,2,0.00%,2,5,221,1,1,7,1,n/a,2,0,8,0,0,12,11,2,8,1,0,1,n/a,12,45,25,1,1.18%,3,0.00%,0,0,41,3
