Package,A,AC,AC(rec),ANC,AnoC,C,C(rec),Ca,Can(rec),CC,CC(rec),Ce,CLOC,CLOC(rec),COM_RAT,COM_RAT(rec),Cp,Cp(rec),Ct,Cyclic,D,E_RAT,EC,EC(rec),I,IC,IC(rec),Jc,Jc(rec),Jf,Jf(rec),JLOC,JLOC(rec),Jm,Jm(rec),JTA,JTA(rec),JTC,JTC(rec),JTM,JTM(rec),LAMBDA,LEAF,LEAF(rec),Level,Level*,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),METH,METH(rec),NCLOC,NCLOC(rec),NCLOCp,NCLOCp(rec),NCLOCt,NCLOCt(rec),NTC,NTC(rec),NTI,NTI(rec),PDcy,PDcy*,PDpt,PDpt*,ROOT,ROOT(rec),TC(rec),TCOM_RAT,TCOM_RAT(rec),TEST_RAT,TODO,TODO(rec),v(G)avg,v(G)tot
,n/a,n/a,3,n/a,n/a,n/a,453,n/a,0,n/a,416,n/a,n/a,"1,900",n/a,6.33%,n/a,452,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,30,n/a,22.69%,n/a,9.93%,n/a,"1,584",n/a,10.23%,n/a,0,n/a,0,n/a,0,n/a,n/a,411,n/a,n/a,n/a,"30,002",n/a,"29,991",n/a,11,n/a,"1,855",n/a,"28,178",n/a,"28,167",n/a,11,n/a,155,n/a,9,n/a,n/a,n/a,n/a,n/a,239,1,n/a,6.47%,n/a,n/a,3,n/a,n/a
anim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,87,46.03%,46.03%,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,189,189,189,189,0,0,n/a,n/a,102,102,102,102,0,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,n/a,n/a,n/a,85.29%,85.29%,0.00%,0,0,n/a,n/a
color,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0.00%,0.00%,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,15,15,15,0,0,n/a,n/a,15,15,15,15,0,n/a,n/a,n/a,n/a,n/a,0,n/a,0,n/a,n/a,n/a,n/a,0.00%,0.00%,0.00%,0,0,n/a,n/a
com,n/a,n/a,3,n/a,n/a,n/a,453,n/a,0,n/a,416,n/a,n/a,"1,786",n/a,7.46%,n/a,452,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,30,n/a,22.69%,n/a,9.93%,n/a,"1,584",n/a,10.23%,n/a,0,n/a,0,n/a,0,n/a,n/a,411,n/a,n/a,n/a,"23,933",n/a,"23,922",n/a,11,n/a,"1,855",n/a,"22,203",n/a,"22,192",n/a,11,n/a,155,n/a,9,n/a,n/a,n/a,n/a,n/a,239,1,n/a,7.79%,n/a,n/a,3,n/a,n/a
com.naman14,n/a,n/a,3,n/a,n/a,n/a,453,n/a,0,n/a,416,n/a,n/a,"1,786",n/a,7.46%,n/a,452,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,30,n/a,22.69%,n/a,9.93%,n/a,"1,584",n/a,10.23%,n/a,0,n/a,0,n/a,0,n/a,n/a,411,n/a,n/a,n/a,"23,933",n/a,"23,922",n/a,11,n/a,"1,855",n/a,"22,203",n/a,"22,192",n/a,11,n/a,155,n/a,9,n/a,n/a,n/a,n/a,n/a,239,1,n/a,7.79%,n/a,n/a,3,n/a,n/a
com.naman14.timber,0.07,0,3,0,6,21,453,414,0,20,416,249,0,"1,786",2.04%,7.46%,20,452,1,15,0.56,71.43%,0,4,0.37,1,30,6.67%,22.69%,0.00%,9.93%,3,"1,584",0.00%,10.23%,0,0,0,0,0,0,0,20,411,2,17,"3,572","23,933","3,561","23,922",11,11,274,"1,855","3,500","22,203","3,489","22,192",11,11,5,155,0,9,8,25,10,17,9,239,1,2.06%,7.79%,0.31%,0,3,3.16,834
com.naman14.timber.activities,0.00,0,0,0,34,51,51,29,0,51,51,292,0,87,5.12%,5.12%,51,51,0,15,0.09,58.82%,0,0,0.89,0,0,17.65%,17.65%,0.00%,0.00%,9,9,0.00%,0.00%,0,0,0,0,0,0,0,49,49,2,17,"1,700","1,700","1,700","1,700",0,0,158,158,"1,614","1,614","1,614","1,614",0,n/a,8,8,0,0,13,25,6,17,32,32,0,5.33%,5.33%,0.00%,0,0,2.02,262
com.naman14.timber.adapters,0.00,0,0,0,33,61,61,71,0,61,61,556,0,142,6.51%,6.51%,61,61,0,15,0.11,57.14%,0,0,0.87,0,0,10.71%,10.71%,0.00%,0.00%,9,9,0.00%,0.00%,0,0,0,0,0,0,0,60,60,2,17,"2,182","2,182","2,182","2,182",0,0,173,173,"2,043","2,043","2,043","2,043",0,n/a,13,13,0,0,10,25,4,17,30,30,0,6.80%,6.80%,0.00%,0,0,2.35,317
com.naman14.timber.cast,0.00,0,0,0,0,5,5,9,0,5,5,18,0,3,1.55%,1.55%,5,5,0,15,0.33,20.00%,0,0,0.67,0,0,40.00%,40.00%,0.00%,0.00%,6,6,0.00%,0.00%,0,0,0,0,0,0,0,4,4,2,17,193,193,193,193,0,0,16,16,190,190,190,190,0,n/a,5,5,0,0,2,25,2,17,3,3,0,1.58%,1.58%,0.00%,0,0,1.50,24
com.naman14.timber.dataloaders,0.00,0,0,0,2,19,19,168,0,18,18,140,0,188,14.34%,14.34%,19,19,0,15,0.55,23.53%,1,1,0.47,0,0,11.76%,11.76%,0.00%,0.00%,30,30,6.02%,6.02%,0,0,0,0,0,0,0,18,18,2,17,"1,311","1,311","1,311","1,311",0,0,85,85,"1,124","1,124","1,124","1,124",0,n/a,14,14,0,0,4,25,8,17,15,15,0,16.64%,16.64%,0.00%,0,0,2.77,230
