Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.naman14.timber.MusicPlayer;0;42;2;1;194.7375;2184261.831;5.6115;1466;201;11216.4418;6;9.7481;0;412;0;57;4;73;0;57;69;0;0;103;0.5746;1.0;197
com.naman14.timber.MusicPlayer.ServiceBinder;1;1;2;1;13.5;2567.2253;0.0625;44;20;190.1648;1;55.933;4;11;0;2;2;21;N/A;3;19;0;0;6;1.0;1.0;5
com.naman14.timber.MusicPlayer.ServiceToken;0;2;1;1;2.0;46.5293;0.0043;9;6;23.2647;0;80.0573;0;1;0;0;1;14;N/A;1;13;0;1;1;0.0;0.0;1
com.naman14.timber.MusicService;0;34;24;4;877.0576;47270518.5488;43.5785;5476;918;53896.7105;1;0.0;5;1396;4;100;208;473;0;105;367;5;0;346;0.207;0.9619;467
com.naman14.timber.MusicService.MediaStoreObserver;0;1;1;2;12.75;1845.6133;0.0502;32;23;144.754;2;59.7378;5;6;0;1;2;24;0;3;22;1;0;8;0.0;1.0;3
com.naman14.timber.MusicService.MultiPlayer;4;3;4;1;101.0526;202535.4526;1.1496;303;98;2004.2571;1;29.3194;53;92;2;17;6;38;N/A;18;32;0;0;53;0.7279;0.8824;35
com.naman14.timber.MusicService.MusicPlayerHandler;5;4;1;2;62.6111;89465.0398;0.6668;218;94;1428.9004;1;34.1437;33;88;0;0;2;51;N/A;2;51;1;0;27;0.0;1.0;24
com.naman14.timber.MusicService.ServiceStub;1;3;1;1;111.7895;258572.1846;1.3529;368;78;2313.028;1;26.6309;90;45;0;44;1;58;N/A;45;57;0;0;92;1.0;1.0;45
com.naman14.timber.MusicService.Shuffler;1;1;3;1;41.7273;17874.4841;0.2279;78;45;428.3645;1;51.9955;12;17;0;2;4;19;N/A;3;15;0;0;17;1.0;1.0;9
com.naman14.timber.MusicService.TrackErrorExtra;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.naman14.timber.MusicService.TrackErrorInfo;0;2;1;1;3.0;129.5552;0.0085;13;10;43.1851;0;75.4291;0;2;0;0;2;15;N/A;1;13;0;2;1;0.0;0.0;1
com.naman14.timber.TimberApp;3;5;1;5;38.75;24473.0704;0.281;115;45;631.5631;1;41.3439;47;24;0;1;94;259;0;2;259;1;0;22;1.0;0.5;7
