Method Name;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
com.naman14.timber.MusicPlayer.addToPlaylist(Context, long[], long);1;0.5;11;3;28.125;14358.3266;0.1969;90;51;510.5183;29;0.25;1;48.9244;2;5;16;1;3
com.naman14.timber.MusicPlayer.addToQueue(Context, long[], long, IdType);1;0.3333;2;5;8.125;1207.4026;0.0378;32;25;148.6034;12;0.1667;0;61.1148;1;3;11;0;4
com.naman14.timber.MusicPlayer.asyncNext(Context);0;1.0;2;1;6.6667;322.8803;0.0157;14;11;48.432;5;0.0;0;72.9806;0;1;3;0;1
com.naman14.timber.MusicPlayer.bindToService(Context, ServiceConnection);1;0.6667;6;0;16.625;3262.0742;0.0733;44;22;196.215;17;1.0;0;56.9609;1;3;6;0;2
com.naman14.timber.MusicPlayer.clearQueue();1;0.0;0;1;5.0;233.0226;0.0126;13;12;46.6045;8;0.5;0;68.5096;2;3;2;0;0
com.naman14.timber.MusicPlayer.createPlaylist(Context, String);2;0.7778;9;2;21.6562;7671.5713;0.1297;68;37;354.2428;24;0.0;0;51.8275;2;5;10;0;2
com.naman14.timber.MusicPlayer.cycleRepeat();2;0.0;0;1;15.0;2001.564;0.0529;32;18;133.4376;21;0.2;0;56.0242;4;7;5;0;0
com.naman14.timber.MusicPlayer.cycleShuffle();2;0.0;0;1;14.8571;2247.4026;0.0572;35;20;151.2675;23;0.1667;0;54.7584;4;8;6;0;0
com.naman14.timber.MusicPlayer.duration();1;0.0;0;0;6.0;365.6662;0.017;17;12;60.9444;10;1.0;0;65.5489;2;4;1;0;0
com.naman14.timber.MusicPlayer.getAlbumName();1;0.0;0;0;8.0;372.0559;0.0172;14;10;46.507;9;1.0;0;67.3938;2;3;1;0;0
com.naman14.timber.MusicPlayer.getArtistName();1;0.0;0;0;8.0;372.0559;0.0172;14;10;46.507;9;1.0;0;67.3938;2;3;1;0;0
com.naman14.timber.MusicPlayer.getAudioSessionId();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;9;1.0;0;66.6369;2;3;1;0;0
com.naman14.timber.MusicPlayer.getCurrentAlbumId();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;9;1.0;0;66.6369;2;3;1;0;0
com.naman14.timber.MusicPlayer.getCurrentArtistId();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;9;1.0;0;66.6369;2;3;1;0;0
com.naman14.timber.MusicPlayer.getCurrentAudioId();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;9;1.0;0;66.6369;2;3;1;0;0
com.naman14.timber.MusicPlayer.getCurrentTrack();1;0.0;0;0;8.0;372.0559;0.0172;14;10;46.507;9;1.0;0;67.3938;2;3;1;0;0
com.naman14.timber.MusicPlayer.getNextAudioId();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;9;1.0;0;66.6369;2;3;1;0;0
com.naman14.timber.MusicPlayer.getPreviousAudioId();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;9;1.0;0;66.6369;2;3;1;0;0
com.naman14.timber.MusicPlayer.getQueue();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;10;1.0;0;65.6387;2;3;2;0;0
com.naman14.timber.MusicPlayer.getQueueHistoryList();1;0.0;0;0;9.0;467.0233;0.0201;15;11;51.8915;9;1.0;0;67.08;2;3;1;0;0
com.naman14.timber.MusicPlayer.getQueueHistoryPosition(int);1;0.0;0;0;6.25;428.3274;0.0189;18;14;68.5324;9;1.0;0;66.2052;2;3;2;0;1
com.naman14.timber.MusicPlayer.getQueueHistorySize();1;0.0;0;0;6.0;322.6466;0.0157;15;12;53.7744;9;1.0;0;66.963;2;3;1;0;0
com.naman14.timber.MusicPlayer.getQueueItemAtPosition(int);1;0.0;0;0;7.5;570.0;0.0229;19;16;76.0;10;1.0;0;64.8688;2;3;2;0;1
com.naman14.timber.MusicPlayer.getQueuePosition();1;0.0;0;0;6.0;322.6466;0.0157;15;12;53.7744;9;1.0;0;66.963;2;3;1;0;0
com.naman14.timber.MusicPlayer.getQueueSize();1;0.0;0;0;6.6667;394.7136;0.0179;16;13;59.207;10;1.0;0;65.6387;2;3;1;0;0
com.naman14.timber.MusicPlayer.getReleaseDateForAlbum(Context, long);2;0.5714;7;2;20.7;4577.5634;0.0919;46;28;221.1383;19;0.0;0;55.5034;2;4;7;0;2
com.naman14.timber.MusicPlayer.getRepeatMode();1;0.0;0;0;6.0;322.6466;0.0157;15;12;53.7744;9;1.0;0;66.963;2;3;1;0;0
