Package Name;A;Ca;Ce;PAHD;PACHEF;PACHER;PACHL;PACHVC;PAHVL;I;PLOC;PAMI;PNCSS;D;PNOAC;PNOCC;PNOI;PNOSC
com;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
com.naman14;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
com.naman14.timber;0.0714;37;18;1150.9229;49553354.6708;50.0591;7339;1255;67579.9135;0.3273;2594;0.0;1927;0.6013;0;4;0;0
com.naman14.timber.activities;0.0;9;46;557.4961;1608304.7622;7.8152;2161;893;15540.8711;0.8364;1036;4.1538;657;0.1636;0;8;0;0
com.naman14.timber.adapters;0.0;26;78;651.7338;1196507.9793;8.1474;2967;1273;19993.4274;0.75;1271;1.4155;851;0.25;0;13;0;0
com.naman14.timber.cast;0.0;4;3;60.8359;22191.6396;0.3916;262;164;1347.9644;0.4286;128;31.6919;64;0.5714;0;5;0;0
com.naman14.timber.dataloaders;0.0;34;19;691.615;1047207.1728;7.2867;2530;986;16003.8282;0.3585;906;5.3268;610;0.6415;0;14;0;0
com.naman14.timber.dialogs;0.2;11;9;64.3035;21443.823;0.3878;227;139;1181.0417;0.45;149;30.6547;83;0.35;0;4;0;0
com.naman14.timber.fragments;0.0;5;88;625.072;1062713.0357;7.3479;2614;1163;17409.0363;0.9462;1261;1.9518;796;0.0538;0;13;0;0
com.naman14.timber.helpers;0.0;5;4;94.8088;170315.4597;1.151;418;162;2750.0055;0.4444;147;28.128;160;0.5556;0;2;0;0
com.naman14.timber.lastfmapi;0.4;11;7;76.056;166568.1671;1.0704;415;172;2849.3464;0.3889;119;30.131;58;0.2111;0;2;2;0
com.naman14.timber.lastfmapi.callbacks;1.0;1;2;0.0;0.0;0.0;0;0;0.0;0.6667;0;0.0;0;0.6667;0;0;3;0
com.naman14.timber.lastfmapi.models;0.0;14;2;72.3003;21213.6822;0.4;368;207;1616.2662;0.125;57;38.8584;34;0.875;0;16;0;0
com.naman14.timber.listeners;0.5;7;0;2.0;65.014;0.0054;14;5;32.507;0.0;10;67.3195;0;0.5;0;1;1;0
com.naman14.timber.models;0.0;53;0;23.0722;5812.3642;0.1672;226;78;983.3185;0.0;58;40.2981;42;1.0;0;4;0;0
com.naman14.timber.nowplaying;0.0;1;28;466.7045;2232266.1562;7.3079;1781;596;12724.752;0.9655;744;7.9413;579;0.0345;0;7;0;0
com.naman14.timber.permissions;0.5;3;0;95.7705;247503.657;1.3824;494;140;3240.7675;0.0;265;21.9963;163;0.5;0;2;2;0
com.naman14.timber.provider;0.3;4;2;516.21;1465828.923;6.5305;1662;464;11256.3809;0.3333;672;9.3109;409;0.3667;0;5;0;0
com.naman14.timber.slidinguppanel;0.2222;2;0;774.8113;14822977.0408;25.3135;4496;729;38164.8594;0.0;1782;0.0;1051;0.7778;0;2;0;0
com.naman14.timber.subfragments;0.0;6;18;293.1979;563767.4153;3.6304;1231;543;8363.5066;0.75;507;12.9293;360;0.25;0;6;0;0
com.naman14.timber.timely;0.0;1;2;68.2927;109330.95;0.7622;246;91;1600.9175;0.6667;73;36.5615;53;0.3333;0;1;0;0
com.naman14.timber.timely.animation;0.0;1;0;35.8333;13616.6667;0.1901;76;32;380.0;0.0;15;56.0646;12;1.0;0;1;0;0
com.naman14.timber.timely.model;0.0;1;2;12.0;4250.9139;0.0875;68;37;354.2428;0.6667;28;50.2365;25;0.3333;0;1;0;0
com.naman14.timber.timely.model.core;1.0;12;0;7.8;1270.2162;0.0391;36;23;162.8482;0.0;10;62.5513;4;0.0;1;0;0;0
com.naman14.timber.timely.model.number;0.0;1;11;194.8239;37763.9169;0.804;486;283;2252.3654;0.9167;66;36.4176;22;0.0833;0;11;0;0
com.naman14.timber.transition;0.0;0;0;172.449;924455.529;3.1633;700;202;5360.748;1.0;174;24.5969;116;0.0;0;1;0;0
com.naman14.timber.utils;0.3333;83;13;570.9624;1669584.4652;8.4522;3065;974;20848.5517;0.1354;1086;2.804;671;0.5312;0;12;0;0
com.naman14.timber.widgets;0.3077;28;3;1155.2675;5940081.9704;19.879;5224;1421;37912.0542;0.0968;1892;0.0;1192;0.5955;0;14;1;0
com.naman14.timber.widgets.desktop;0.25;0;5;100.4794;61950.0762;0.7532;332;175;1917.0812;1.0;144;29.4942;70;0.25;1;3;0;0
